[2026-05-07T11:34:16.581017700+00:00] ensuring sandbox users offline=CodexSandboxOffline online=CodexSandboxOnline
[2026-05-07T11:34:16.746750100+00:00] firewall rule configured name=codex_sandbox_offline_block_loopback_udp protocol=17 RemoteAddresses=127.0.0.0/8,::/127 RemotePorts=* LocalUserAuthorizedList=O:LSD:(A;;CC;;;S-1-5-21-2893389989-4132726312-3558670574-1017)
[2026-05-07T11:34:16.871023800+00:00] firewall rule configured name=codex_sandbox_offline_block_loopback_tcp protocol=6 RemoteAddresses=127.0.0.0/8,::/127 RemotePorts=* LocalUserAuthorizedList=O:LSD:(A;;CC;;;S-1-5-21-2893389989-4132726312-3558670574-1017)
[2026-05-07T11:34:17.009430500+00:00] firewall rule configured name=codex_sandbox_offline_block_loopback_tcp protocol=6 RemoteAddresses=127.0.0.0/8,::/127 RemotePorts=1-65535 LocalUserAuthorizedList=O:LSD:(A;;CC;;;S-1-5-21-2893389989-4132726312-3558670574-1017)
[2026-05-07T11:34:17.136915400+00:00] firewall rule configured name=codex_sandbox_offline_block_outbound protocol=256 RemoteAddresses=0.0.0.0-126.255.255.255,128.0.0.0-255.255.255.255,::,::2-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff RemotePorts=* LocalUserAuthorizedList=O:LSD:(A;;CC;;;S-1-5-21-2893389989-4132726312-3558670574-1017)
[2026-05-07 19:34:17.144 codex-windows-sandbox-setup.exe] setup binary completed
[2026-05-07T11:34:17.160417600+00:00] read-acl-only mode: applying read ACLs
[2026-05-07T11:34:17.161645900+00:00] granting read ACE to C:\Users\s8117\.android for sandbox users
[2026-05-07T11:34:17.162106800+00:00] granting read ACE to C:\Users\s8117\.bash_history for sandbox users
[2026-05-07T11:34:17.162316800+00:00] granting read ACE to C:\Users\s8117\.bun for sandbox users
[2026-05-07T11:34:19.416547200+00:00] granting read ACE to C:\Users\s8117\.cache for sandbox users
[2026-05-07T11:34:19.459529700+00:00] granting read ACE to C:\Users\s8117\.cagent for sandbox users
[2026-05-07T11:34:19.459949500+00:00] granting read ACE to C:\Users\s8117\.claude for sandbox users
[2026-05-07T11:34:19.461969100+00:00] granting read ACE to C:\Users\s8117\.claude.json for sandbox users
[2026-05-07T11:34:19.462165100+00:00] granting read ACE to C:\Users\s8117\.codegeex for sandbox users
[2026-05-07T11:34:20.994074200+00:00] granting read ACE to C:\Users\s8117\.codex for sandbox users
[2026-05-07T11:34:21.843666400+00:00] granting read ACE to C:\Users\s8117\.conda for sandbox users
[2026-05-07T11:34:21.843976+00:00] granting read ACE to C:\Users\s8117\.copilot for sandbox users
[2026-05-07T11:34:21.854655+00:00] granting read ACE to C:\Users\s8117\.crossnote for sandbox users
[2026-05-07T11:34:21.855521900+00:00] granting read ACE to C:\Users\s8117\.cursor for sandbox users
[2026-05-07T11:34:25.049807600+00:00] granting read ACE to C:\Users\s8117\.DWords2 for sandbox users
[2026-05-07T11:34:25.050382500+00:00] granting read ACE to C:\Users\s8117\.eide for sandbox users
[2026-05-07T11:34:25.595038200+00:00] granting read ACE to C:\Users\s8117\.finger.txt for sandbox users
[2026-05-07T11:34:25.595718700+00:00] granting read ACE to C:\Users\s8117\.gemini for sandbox users
[2026-05-07T11:34:25.601297100+00:00] granting read ACE to C:\Users\s8117\.gitconfig for sandbox users
[2026-05-07T11:34:25.601693700+00:00] granting read ACE to C:\Users\s8117\.icube-remote-ssh for sandbox users
[2026-05-07T11:34:25.602146300+00:00] granting read ACE to C:\Users\s8117\.idea for sandbox users
[2026-05-07T11:34:25.603215+00:00] granting read ACE to C:\Users\s8117\.ipython for sandbox users
[2026-05-07T11:34:25.604710300+00:00] granting read ACE to C:\Users\s8117\.keras for sandbox users
[2026-05-07T11:34:25.605092+00:00] granting read ACE to C:\Users\s8117\.labelImgSettings.pkl for sandbox users
[2026-05-07T11:34:25.605363400+00:00] granting read ACE to C:\Users\s8117\.local for sandbox users
[2026-05-07T11:34:25.657579900+00:00] granting read ACE to C:\Users\s8117\.mamba for sandbox users
[2026-05-07T11:34:25.658000400+00:00] granting read ACE to C:\Users\s8117\.matplotlib for sandbox users
[2026-05-07T11:34:25.658617100+00:00] granting read ACE to C:\Users\s8117\.minimax-agent-cn for sandbox users
[2026-05-07T11:34:25.659060700+00:00] granting read ACE to C:\Users\s8117\.modelscope for sandbox users
[2026-05-07T11:34:25.659596+00:00] granting read ACE to C:\Users\s8117\.npmrc for sandbox users
[2026-05-07T11:34:25.659833100+00:00] granting read ACE to C:\Users\s8117\.nuxtrc for sandbox users
[2026-05-07T11:34:25.660137400+00:00] granting read ACE to C:\Users\s8117\.ollama for sandbox users
[2026-05-07T11:34:25.660990800+00:00] granting read ACE to C:\Users\s8117\.openclaw for sandbox users
[2026-05-07T11:34:30.443819800+00:00] granting read ACE to C:\Users\s8117\.pdfbox.cache for sandbox users
[2026-05-07T11:34:30.444056600+00:00] granting read ACE to C:\Users\s8117\.platformio for sandbox users
[2026-05-07T11:34:37.676317200+00:00] granting read ACE to C:\Users\s8117\.qoder for sandbox users
[2026-05-07T11:34:37.676894200+00:00] granting read ACE to C:\Users\s8117\.qoderwork for sandbox users
[2026-05-07T11:34:37.691112700+00:00] granting read ACE to C:\Users\s8117\.redhat for sandbox users
[2026-05-07T11:34:37.691587400+00:00] granting read ACE to C:\Users\s8117\.stm32cubemx for sandbox users
[2026-05-07T11:34:41.975182500+00:00] granting read ACE to C:\Users\s8117\.stm32cubeup for sandbox users
[2026-05-07T11:34:41.975517600+00:00] granting read ACE to C:\Users\s8117\.stmcube for sandbox users
[2026-05-07T11:34:41.976044400+00:00] granting read ACE to C:\Users\s8117\.stmcufinder for sandbox users
[2026-05-07T11:34:41.998930200+00:00] granting read ACE to C:\Users\s8117\.streamlit for sandbox users
[2026-05-07T11:34:41.999312700+00:00] granting read ACE to C:\Users\s8117\.trae-aicc for sandbox users
[2026-05-07T11:34:42.000194800+00:00] granting read ACE to C:\Users\s8117\.trae-cn for sandbox users
[2026-05-07T11:34:44.851708200+00:00] granting read ACE to C:\Users\s8117\.vscode for sandbox users
[2026-05-07T11:34:48.344892300+00:00] granting read ACE to C:\Users\s8117\.vscode-shared for sandbox users
[2026-05-07T11:34:48.345610700+00:00] granting read ACE to C:\Users\s8117\ansel for sandbox users
[2026-05-07T11:34:48.345852100+00:00] granting read ACE to C:\Users\s8117\AppData for sandbox users
[2026-05-07T11:35:59.369451700+00:00] granting read ACE to C:\Users\s8117\build for sandbox users
[2026-05-07T11:35:59.371263400+00:00] granting read ACE to C:\Users\s8117\cd for sandbox users
[2026-05-07T11:35:59.371456500+00:00] granting read ACE to C:\Users\s8117\CLionProjects for sandbox users
[2026-05-07T11:35:59.380346500+00:00] granting read ACE to C:\Users\s8117\CodeGeeXProjects for sandbox users
[2026-05-07T11:35:59.380600200+00:00] granting read ACE to C:\Users\s8117\Contacts for sandbox users
[2026-05-07T11:35:59.380915600+00:00] granting read ACE to C:\Users\s8117\d4ac4633ebd6440fa397b84f1bc94a3c.7z for sandbox users
[2026-05-07T11:35:59.381083600+00:00] granting read ACE to C:\Users\s8117\Desktop for sandbox users
[2026-05-07T11:36:08.017413+00:00] granting read ACE to C:\Users\s8117\dist for sandbox users
[2026-05-07T11:36:08.017666900+00:00] granting read ACE to C:\Users\s8117\Documents for sandbox users
[2026-05-07T11:36:16.940904+00:00] granting read ACE to C:\Users\s8117\Downloads for sandbox users
[2026-05-07T11:36:17.011058+00:00] granting read ACE to C:\Users\s8117\Favorites for sandbox users
[2026-05-07T11:36:17.011567200+00:00] granting read ACE to C:\Users\s8117\FoundryAnalytics for sandbox users
[2026-05-07T11:36:17.012727400+00:00] granting read ACE to C:\Users\s8117\inittk.ini for sandbox users
[2026-05-07T11:36:17.012924300+00:00] granting read ACE to C:\Users\s8117\inst.ini for sandbox users
[2026-05-07T11:36:17.013112+00:00] granting read ACE to C:\Users\s8117\InstallAnywhere for sandbox users
[2026-05-07T11:36:17.013331500+00:00] granting read ACE to C:\Users\s8117\Links for sandbox users
[2026-05-07T11:36:17.013762700+00:00] granting read ACE to C:\Users\s8117\logs for sandbox users
[2026-05-07T11:36:17.014085700+00:00] granting read ACE to C:\Users\s8117\Lr for sandbox users
[2026-05-07T11:36:17.014323300+00:00] granting read ACE to C:\Users\s8117\MinerU for sandbox users
[2026-05-07T11:36:17.016400700+00:00] granting read ACE to C:\Users\s8117\mumu_boot.txt for sandbox users
[2026-05-07T11:36:17.016548600+00:00] granting read ACE to C:\Users\s8117\Music for sandbox users
[2026-05-07T11:36:17.016811700+00:00] granting read ACE to C:\Users\s8117\Nox_share for sandbox users
[2026-05-07T11:36:17.017417800+00:00] granting read ACE to C:\Users\s8117\npm for sandbox users
[2026-05-07T11:36:17.017628900+00:00] granting read ACE to C:\Users\s8117\NTUSER.DAT for sandbox users
[2026-05-07T11:36:17.017830500+00:00] granting read ACE to C:\Users\s8117\ntuser.dat.LOG1 for sandbox users
[2026-05-07T11:36:17.018041300+00:00] granting read ACE to C:\Users\s8117\ntuser.dat.LOG2 for sandbox users
[2026-05-07T11:36:17.018224600+00:00] granting read ACE to C:\Users\s8117\NTUSER.DAT{db187f56-4cf5-11ef-ad21-ac198eeae28d}.TM.blf for sandbox users
[2026-05-07T11:36:17.018407400+00:00] granting read ACE to C:\Users\s8117\NTUSER.DAT{db187f56-4cf5-11ef-ad21-ac198eeae28d}.TMContainer00000000000000000001.regtrans-ms for sandbox users
[2026-05-07T11:36:17.018586600+00:00] granting read ACE to C:\Users\s8117\NTUSER.DAT{db187f56-4cf5-11ef-ad21-ac198eeae28d}.TMContainer00000000000000000002.regtrans-ms for sandbox users
[2026-05-07T11:36:17.018785100+00:00] granting read ACE to C:\Users\s8117\ntuser.ini for sandbox users
[2026-05-07T11:36:17.019381300+00:00] granting read ACE to C:\Users\s8117\nuuid.ini for sandbox users
[2026-05-07T11:36:17.019556500+00:00] granting read ACE to C:\Users\s8117\OneDrive for sandbox users
[2026-05-07T11:36:17.022121300+00:00] granting read ACE to C:\Users\s8117\Pictures for sandbox users
[2026-05-07T11:36:17.947544200+00:00] granting read ACE to C:\Users\s8117\PycharmProjects for sandbox users
[2026-05-07T11:36:18.031183700+00:00] granting read ACE to C:\Users\s8117\Saved Games for sandbox users
